Title,Title_URL,Image,Date
Haedar Nashir: Buya Syafii Maarif Sedih Sila Ke-5 Pancasila Terlantar,https://www.idntimes.com/news/indonesia/siti-nurhaliza-17/haedar-nashir-buya-syafii-maarif-sedih-sila-ke-5-pancasila-terlantar,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 06:03
                "
Cuaca Indonesia 30 Juni 2022: Jakarta Cerah Sepanjang Hari,https://www.idntimes.com/news/indonesia/timmy-si-robot/cuaca-indonesia-30-juni-2022-jakarta-cerah-sepanjang-hari-2,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 06:00
                "
Cuaca Jabodetabek 30 Juni 2022: Jakarta Cerah Sepanjang Hari,https://www.idntimes.com/news/indonesia/timmy-si-robot/cuaca-jabodetabek-30-juni-2022-jakarta-cerah-sepanjang-hari,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 06:00
                "
Kisah di Balik Penyelenggaraan Ibadah Haji Indonesia,https://www.idntimes.com/news/indonesia/siti-nurhaliza-17/kisah-di-balik-penyelenggaraan-ibadah-haji-indonesia,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    30 Jun 22 | 05:00
                "
Siapa Pemilik Holywings yang Kini Izin Usahanya Dicabut Pemprov DKI?,https://www.idntimes.com/news/indonesia/uji-sukma-medianti-1/siapa-pemilik-holywings-yang-kini-izin-usahanya-dicabut-pemprov-dki,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 23:50
                "
"Disetujui DPR, Ini Deretan Calon Hakim Agung dan Ad Hoc Tipikor MA",https://www.idntimes.com/news/indonesia/yosafat-diva-bagus/disetujui-dpr-ini-deretan-calon-hakim-agung-dan-ad-hoc-tipikor-ma,https://www.idntimes.com/assets/img/placeholder.png,"
                    
                    29 Jun 22 | 23:23
                "
KPU Urai Nasib Tiga Provinsi Baru Papua di Pemilu 2024,https://www.idntimes.com/news/indonesia/yosafat-diva-bagus/kpu-urai-nasib-tiga-provinsi-baru-papua-di-pemilu,https://cdn.idntimes.com/content-images/community/2020/05/peta%20irian%20jaya_300x200.jpg,"
                    
                    29 Jun 22 | 23:20
                "
"Baku Tembak di Bank Kanada, 2 Tersangka Tewas",https://www.idntimes.com/news/world/pri-145/baku-tembak-di-bank-kanada-2-tersangka-tewas-c1c2,https://cdn.idntimes.com/content-images/community/2022/06/aaron-doucett-kntbtk8p0fw-unsplash-2d588b538864a3b2a1a0b557d321694d-f143d365f37e08e35490119fb85636bb_300x200.jpg,"
                    
                    29 Jun 22 | 23:20
                "
MUI Imbau Umat Muslim Tak Khawatir Kurban saat PMK,https://www.idntimes.com/news/indonesia/lia-hutasoit-1/mui-imbau-umat-muslim-tak-khawatir-kurban-saat-pmk,https://cdn.idntimes.com/content-images/post/20210719/whatsapp-image-2021-07-19-at-25008-pm-8556dfd76915997987c5b84becc319db_300x200.jpeg,"
                    
                    29 Jun 22 | 23:18
                "
[LINIMASA-5] Perkembangan Terkini Vaksinasi COVID-19 Indonesia,https://www.idntimes.com/news/indonesia/satria-permana-2/linimasa-5-perkembangan-terkini-vaksinasi-covid-19-indonesia,https://cdn.idntimes.com/content-images/post/20201012/vaksin-covid-19-e865f0df0ce15b24f91425fa9ac06105_300x200.jpeg,"
                    
                    29 Jun 22 | 23:00
                "
